GSM_ID,Organism,GSE_ID,GPL_ID,SRA_ID,Library Strategy
GSM480446,Drosophila melanogaster,GSE19325,GPL9061,SRX017854,chip-seq
GSM1129744,Mus musculus,GSE46396,GPL13112,SRX272025,chip-seq
GSM1939099,Mus musculus,GSE74964,GPL13112,SRX1430120,chip-seq
GSM1508945,Homo sapiens,GSE61586,GPL11154,SRX707372,chip-seq
GSM1359504,Homo sapiens,GSE56144,GPL9115,SRX503344,chip-seq
GSM1359505,Homo sapiens,GSE56144,GPL9115,SRX503345,chip-seq
GSM2310039,Mus musculus,GSE86897,GPL13112,SRX2162547,chip-seq
GSM1359502,Homo sapiens,GSE56144,GPL9115,SRX503342,chip-seq
GSM1359503,Homo sapiens,GSE56144,GPL9115,SRX503343,chip-seq
GSM1550867,Homo sapiens,GSE62742,GPL11154,SRX764546,chip-seq
GSM1872329,Saccharomyces cerevisiae,GSE72802,GPL6476,,
GSM1656161,Mus musculus,GSE67790,GPL18635,SRX992473,chip-seq
GSM608038,Mus musculus,GSE21449,GPL9250,SRX028524,chip-seq
GSM1550861,Homo sapiens,GSE62742,GPL11154,SRX764540,chip-seq
GSM669936,Homo sapiens,GSE19465,GPL9115,SRX040982,chip-seq
GSM628006,Mus musculus,GSE25549,GPL9250,SRX031885,chip-seq
GSM1441332,Mus musculus,GSE59636,GPL18480,SRX658437,chip-seq
GSM1441331,Mus musculus,GSE59636,GPL18480,SRX658436,chip-seq
GSM628005,Mus musculus,GSE25549,GPL9250,SRX031884,chip-seq
GSM375779,Homo sapiens,GSE15154,GPL570,,
GSM1241541,Homo sapiens,GSE51272,GPL6984,,
GSM1241547,Homo sapiens,GSE51272,GPL6984,,
GSM1241544,Homo sapiens,GSE51272,GPL6984,,
GSM1674800,Mus musculus,GSE68291,GPL6246,SRX1017410,chip-seq
GSM2029585,Homo sapiens,GSE71323,GPL16791,SRX1521308,chip-seq
GSM1659908,Xenopus tropicalis,GSE67974,GPL15472,SRX999336,chip-seq
GSM1674029,Bos taurus,GSE68507,GPL9250,SRX997068,chip-seq
GSM386131,Drosophila melanogaster,GSE15424,GPL6949,,
GSM386130,Drosophila melanogaster,GSE15424,GPL6949,,
GSM386133,Drosophila melanogaster,GSE15424,GPL6949,,
GSM386132,Drosophila melanogaster,GSE15424,GPL6949,,
GSM1674022,Bos taurus,GSE68507,GPL9250,SRX996696,chip-seq
GSM1604257,Mus musculus,GSE58514,GPL13112,SRX869304,chip-seq
GSM1498897,Homo sapiens,GSE61176,GPL11154,SRX693083,chip-seq
GSM2230644,Rattus norvegicus,GSE84272,GPL18694,SRX1927032,chip-seq
GSM1604259,Mus musculus,GSE58514,GPL13112,SRX869306,chip-seq
GSM940913,Mus musculus,GSE38377,GPL9250,SRX150862,chip-seq
GSM1974223,Xenopus tropicalis,GSE67974,GPL15472,SRX1488584,chip-seq
GSM518558,Homo sapiens,GSE20673,GPL9115,SRX017324,chip-seq
GSM946527,Mus musculus,GSE36028,GPL9250,SRX153167,chip-seq
GSM599726,Caenorhabditis elegans,GSE24318,GPL9269,SRX027211,chip-seq
GSM1192085,Mus musculus,GSE48172,GPL13112,SRX326480,chip-seq
GSM1974224,Xenopus tropicalis,GSE67974,GPL15472,SRX1488585,chip-seq
GSM599725,Caenorhabditis elegans,GSE24318,GPL9269,SRX027210,chip-seq
GSM811286,Caenorhabditis elegans,GSE37500,GPL8647,,
GSM879920,Mus musculus,GSE36048,GPL9250,SRX121863,chip-seq
GSM1218878,Mus musculus,GSE50417,GPL13112,SRX341048,chip-seq
GSM442287,Drosophila melanogaster,GSE15424,GPL6949,,
GSM1608520,Homo sapiens,GSE62742,GPL11154,SRX876321,chia-pet
GSM279808,Mus musculus,GSE11044,GPL1261,,
GSM279809,Mus musculus,GSE11044,GPL1261,,
GSM279804,Mus musculus,GSE11044,GPL1261,,
GSM279805,Mus musculus,GSE11044,GPL1261,,
GSM1144403,Homo sapiens,GSE47075,GPL13118,,
GSM1144402,Homo sapiens,GSE47075,GPL13118,,
GSM1144405,Homo sapiens,GSE47075,GPL13118,,
GSM1144404,Homo sapiens,GSE47075,GPL13118,,
GSM442288,Drosophila melanogaster,GSE15424,GPL6949,,
GSM442289,Drosophila melanogaster,GSE15424,GPL6949,,
GSM1674797,Mus musculus,GSE68291,GPL6246,SRX1017407,chip-seq
GSM2232521,Mus musculus,GSE83833,GPL19057,SRX1943477,chip-seq
GSM621637,Homo sapiens,GSE19465,GPL9115,,chip-seq
GSM2232522,Mus musculus,GSE83833,GPL19057,SRX1943478,chip-seq
GSM1659904,Xenopus tropicalis,GSE67974,GPL15472,SRX999332,chip-seq
GSM352202,Xenopus tropicalis,GSE14025,GPL9405,SRX012330,chip-seq
GSM1388154,Mus musculus,GSE57758,GPL13112,SRX545939,chip-seq
GSM1674799,Mus musculus,GSE68291,GPL6246,,chip-seq
GSM1674798,Mus musculus,GSE68291,GPL6246,SRX1017408,chip-seq
GSM621458,Homo sapiens,GSE19465,GPL9115,,chip-seq
GSM772867,Homo sapiens,GSE17312,GPL570,SRX088782,chip-seq
GSM1059008,Mus musculus,GSE43229,GPL13112,SRX213805,chip-seq
GSM772861,Homo sapiens,GSE17312,GPL570,,chip-seq
GSM772862,Homo sapiens,GSE17312,GPL570,SRX088777,chip-seq
GSM1655644,Arabidopsis thaliana,GSE67776,GPL13222,SRX986836,chip-seq
GSM1655645,Arabidopsis thaliana,GSE67776,GPL13222,SRX986837,chip-seq
GSM1655646,Arabidopsis thaliana,GSE67776,GPL13222,SRX986838,chip-seq
GSM1550869,Homo sapiens,GSE62742,GPL11154,SRX764548,chip-seq
GSM1655640,Arabidopsis thaliana,GSE67776,GPL13222,SRX986832,chip-seq
GSM621457,Homo sapiens,GSE19465,GPL9115,SRX031451,chip-seq
GSM1655642,Arabidopsis thaliana,GSE67776,GPL13222,SRX986834,chip-seq
GSM1655643,Arabidopsis thaliana,GSE67776,GPL13222,SRX986835,chip-seq
GSM1338343,Homo sapiens,GSE55426,GPL10559,SRX480792,chip-seq
GSM2140756,Saccharomyces cerevisiae,GSE73407,GPL13821,SRX1738632,chip-seq
GSM1155413,Monodelphis domestica,GSE47723,GPL17258,SRX297603,chip-seq
GSM1133649,Homo sapiens,GSE46663,GPL11154,SRX275402,chip-seq
GSM1133648,Homo sapiens,GSE46663,GPL11154,SRX275401,chip-seq
GSM1338344,Homo sapiens,GSE55426,GPL10559,SRX480793,chip-seq
GSM465142,Mus musculus,GSE18734,GPL9485,,
GSM465143,Mus musculus,GSE18734,GPL9485,,
GSM767349,Homo sapiens,GSE16256,GPL9052,SRX084992,chip-seq
GSM465141,Mus musculus,GSE18734,GPL9485,,
GSM2191391,Mus musculus,GSE82537,GPL13112,SRX1833168,chip-seq
GSM1888697,Homo sapiens,GSE73212,GPL11154,SRX1261895,chip-seq
GSM1326442,Homo sapiens,GSE37378,GPL10999,SRX469903,chip-seq
GSM1326441,Homo sapiens,GSE37378,GPL10999,SRX469902,chip-seq
GSM1326440,Homo sapiens,GSE37378,GPL10999,SRX469901,chip-seq
GSM1888693,Homo sapiens,GSE73212,GPL11154,SRX1261891,chip-seq
GSM1345940,Mus musculus,GSE55774,GPL11002,SRX484319,chip-seq
GSM1888691,Homo sapiens,GSE73212,GPL11154,SRX1261889,chip-seq
GSM1180207,Mus musculus,GSE48519,GPL13112,SRX317682,chip-seq
GSM772797,Homo sapiens,GSE17312,GPL570,SRX088712,chip-seq
GSM2191461,Mus musculus,GSE82568,GPL17021,SRX1833234,chip-seq
GSM772792,Homo sapiens,GSE17312,GPL570,,chip-seq
GSM772790,Homo sapiens,GSE17312,GPL570,,chip-seq
GSM1180200,Mus musculus,GSE48519,GPL13112,SRX317675,chip-seq
GSM1050353,Mus musculus,GSE42810,GPL9250,,chip-seq
GSM1050352,Mus musculus,GSE42810,GPL9250,,chip-seq
GSM1474194,Mus musculus,GSE60353,GPL13112,SRX675965,chip-seq
GSM1050357,Mus musculus,GSE42810,GPL9250,,chip-seq
GSM1050356,Mus musculus,GSE42810,GPL9250,,chip-seq
GSM1050355,Mus musculus,GSE42810,GPL9250,,chip-seq
GSM1050354,Mus musculus,GSE42810,GPL9250,,chip-seq
GSM894072,Homo sapiens,GSE36354,GPL11154,SRX129080,chip-seq
GSM894073,Homo sapiens,GSE36354,GPL11154,SRX129081,chip-seq
GSM894070,Homo sapiens,GSE36354,GPL11154,SRX129078,chip-seq
GSM537615,Homo sapiens,GSE19465,GPL9115,,chip-seq
GSM2308507,Mus musculus,GSE86704,GPL21103,SRX2156916,chip-seq
GSM1436882,Homo sapiens,GSE59434,GPL11154,SRX652749,chip-seq
GSM1436881,Homo sapiens,GSE59434,GPL11154,SRX652748,chip-seq
GSM1440717,Chlamydomonas reinhardtii,GSE59629,GPL15922,SRX658252,chip-seq
GSM550313,Mus musculus,GSE22104,GPL9185,SRX021634,chip-seq
GSM550314,Mus musculus,GSE22104,GPL9185,SRX021635,chip-seq
GSM1904292,Mus musculus,GSE73834,GPL13112,,chip-seq
GSM2104178,Mus musculus,GSE79813,GPL13112,SRX1672842,chip-seq
GSM2104179,Mus musculus,GSE79813,GPL13112,SRX1672843,chip-seq
GSM1869140,Homo sapiens,GSE72532,GPL11154,SRX1184127,chip-seq
GSM1208361,Caenorhabditis elegans,GSE49870,GPL13657,SRX335103,chip-seq
GSM1208362,Caenorhabditis elegans,GSE49870,GPL13657,SRX335104,chip-seq
GSM1406303,Homo sapiens,GSE58310,GPL11154,SRX581541,chip-seq
GSM1918655,Homo sapiens,GSE74359,GPL18573,SRX1383901,chip-seq
GSM1406300,Homo sapiens,GSE58310,GPL11154,SRX581538,chip-seq
GSM1406306,Homo sapiens,GSE58310,GPL11154,SRX581544,chip-seq
GSM375651,Homo sapiens,GSE15154,GPL570,,
GSM607805,Arabidopsis thaliana,GSE24658,GPL10919,,
GSM607804,Arabidopsis thaliana,GSE24658,GPL10919,,
GSM1406309,Homo sapiens,GSE58310,GPL11154,SRX581547,chip-seq
GSM607801,Arabidopsis thaliana,GSE24658,GPL10919,,
GSM607800,Arabidopsis thaliana,GSE24658,GPL10919,,
GSM607803,Arabidopsis thaliana,GSE24658,GPL10919,,
GSM607802,Arabidopsis thaliana,GSE24658,GPL10919,,
GSM1612049,Homo sapiens,GSE54580,GPL11154,SRX879208,chip-seq
GSM1918656,Homo sapiens,GSE74359,GPL18573,SRX1383902,chip-seq
GSM604733,Drosophila melanogaster,GSE24521,GPL9061,SRX027833,chip-seq
GSM1441330,Mus musculus,GSE59636,GPL18480,SRX658435,chip-seq
GSM1893638,Mus musculus,GSE73432,GPL11002,SRX1287771,chip-seq
GSM1033574,Homo sapiens,GSE42147,GPL10999,SRX203353,chip-seq
GSM1033575,Homo sapiens,GSE42147,GPL10999,SRX203354,chip-seq
GSM1918639,Homo sapiens,GSE74359,GPL18573,SRX1383885,chip-seq
GSM1067280,Homo sapiens,GSE43625,GPL9115,SRX218423,chip-seq
GSM1033570,Homo sapiens,GSE42147,GPL10999,SRX203349,chip-seq
GSM1033571,Homo sapiens,GSE42147,GPL10999,SRX203350,chip-seq
GSM1033572,Homo sapiens,GSE42147,GPL10999,SRX203351,chip-seq
GSM1033573,Homo sapiens,GSE42147,GPL10999,SRX203352,chip-seq
GSM1911821,Schmidtea mediterranea,GSE74153,GPL20150,SRX1354668,chip-seq
GSM1911820,Schmidtea mediterranea,GSE74153,GPL20150,SRX1354667,chip-seq
GSM701480,Homo sapiens,GSE28377,GPL13339,,
GSM1911824,Schmidtea mediterranea,GSE74153,GPL20150,SRX1354671,chip-seq
GSM1849862,Mus musculus,GSE72017,GPL17021,SRX1143904,chip-seq
GSM1033758,Homo sapiens,GSE42161,GPL11154,SRX203393,chip-seq
GSM1849861,Mus musculus,GSE72017,GPL17021,SRX1143903,chip-seq
GSM1889247,Mus musculus,GSE73239,GPL13112,SRX1267265,chip-seq
GSM1148324,Homo sapiens,GSE47380,GPL15802,,
GSM2232471,Mus musculus,GSE83833,GPL19057,SRX1943427,chip-seq
GSM1498415,Mus musculus,GSE61148,GPL11002,SRX692946,chip-seq
GSM1847964,Homo sapiens,GSE71952,GPL16791,SRX1142290,chip-seq
GSM777094,Mus musculus,GSE31331,GPL9250,SRX092600,chip-seq
GSM1674801,Mus musculus,GSE68291,GPL6246,SRX1017411,chip-seq
GSM942089,Homo sapiens,GSE38442,GPL9115,SRX151366,chip-seq
GSM942088,Homo sapiens,GSE38442,GPL9115,SRX151365,chip-seq
GSM942087,Homo sapiens,GSE38442,GPL9115,SRX151364,chip-seq
GSM942086,Homo sapiens,GSE38442,GPL9115,SRX151363,chip-seq
