Sample_ID,Title,Organism,Series_ID,GPL_ID,Instrument Model,SRA_ID,Library Strategy,H3K4me3_description,Tissue,Cell Line,Cell Type,Disease,Treatment,Genotype,Antibody,Feature in Title,Feature in Ab,Feature in Title or Ab
GSM1359504,ChIPseq_H3K4me3_LEC,Homo sapiens,['GSE56144'],GPL16791,Illumina HiSeq 2500,https://www.ncbi.nlm.nih.gov/sra?term=SRX503344,ChIP-Seq,"{'chip antibody': 'H3K4me3 (Abcam, ab8580)', 'Title': 'ChIPseq_H3K4me3_LEC'}",,LEC,,,{},{},"{'chip antibody': 'H3K4me3 (Abcam, ab8580)'}",True,True,True
GSM1359505,ChIPseq_H3K4me3_LEC219,Homo sapiens,['GSE56144'],GPL16791,Illumina HiSeq 2500,https://www.ncbi.nlm.nih.gov/sra?term=SRX503345,ChIP-Seq,"{'chip antibody': 'H3K4me3 (Abcam, ab8580)', 'Title': 'ChIPseq_H3K4me3_LEC219'}",,LEC-219,,,{'infection': 'rKSHV.219'},{},"{'chip antibody': 'H3K4me3 (Abcam, ab8580)'}",True,True,True
GSM1359502,ChIPseq_H3K4me3_iSLK,Homo sapiens,['GSE56144'],GPL16791,Illumina HiSeq 2500,https://www.ncbi.nlm.nih.gov/sra?term=SRX503342,ChIP-Seq,"{'chip antibody': 'H3K4me3 (Abcam, ab8580)', 'Title': 'ChIPseq_H3K4me3_iSLK'}",,iSLK,,,{},{},"{'chip antibody': 'H3K4me3 (Abcam, ab8580)'}",True,True,True
GSM1359503,ChIPseq_H3K4me3_iSLK219,Homo sapiens,['GSE56144'],GPL16791,Illumina HiSeq 2500,https://www.ncbi.nlm.nih.gov/sra?term=SRX503343,ChIP-Seq,"{'chip antibody': 'H3K4me3 (Abcam, ab8580)', 'Title': 'ChIPseq_H3K4me3_iSLK219'}",,iSLK-219,,,{'infection': 'rKSHV.219'},{},"{'chip antibody': 'H3K4me3 (Abcam, ab8580)'}",True,True,True
GSM1550867,GM19171_H3K4ME3,Homo sapiens,['GSE62742'],GPL11154,Illumina HiSeq 2000,https://www.ncbi.nlm.nih.gov/sra?term=SRX764546,ChIP-Seq,"{'antibody': 'H3K4ME3', 'Title': 'GM19171_H3K4ME3'}",,GM19171,,,{},{},{'antibody': 'H3K4ME3'},True,True,True
GSM1550861,GM18520_H3K4ME3,Homo sapiens,['GSE62742'],GPL11154,Illumina HiSeq 2000,https://www.ncbi.nlm.nih.gov/sra?term=SRX764540,ChIP-Seq,"{'antibody': 'H3K4ME3', 'Title': 'GM18520_H3K4ME3'}",,GM18520,,,{},{},{'antibody': 'H3K4ME3'},True,True,True
GSM669936,ChIP-Seq analysis of H3K4me3 in HUES48 cells; Lib:MC:20101025:08--ChIP:MC:20101020:08:ES cell HUES_48:H3K4Me3,Homo sapiens,['GSE19465'],GPL10999,Illumina Genome Analyzer IIx,https://www.ncbi.nlm.nih.gov/sra?term=SRX040982,ChIP-Seq,"{'experiment_type': 'Histone H3K4me3', 'chip_antibody': 'H3K4Me3', 'Title': 'ChIP-Seq analysis of H3K4me3 in HUES48 cells; Lib:MC:20101025:08--ChIP:MC:20101020:08:ES cell HUES_48:H3K4Me3'}",,HUES48,,none,{},{},{'chip_antibody': 'H3K4Me3'},True,True,True
GSM1958042,H3K4me3 CHIP-seq in MutuI,Homo sapiens,"['GSE75504', 'GSE75503']",GPL9115,Illumina Genome Analyzer II,https://www.ncbi.nlm.nih.gov/sra?term=SRX1456196,ChIP-Seq,"{'chip antibody': 'H3K4me3', 'Title': 'H3K4me3 CHIP-seq in MutuI'}",,MutuI,,,{},{},{'chip antibody': 'H3K4me3'},True,True,True
GSM1498896,H3K4me3_ChIPSeq-DN,Homo sapiens,['GSE61176'],GPL11154,Illumina HiSeq 2000,https://www.ncbi.nlm.nih.gov/sra?term=SRX693082,ChIP-Seq,"{'antibody': 'H3K4me3', 'Title': 'H3K4me3_ChIPSeq-DN'}",,Fucci human embryonic stem cell,,,{},{},{'antibody': 'H3K4me3'},True,True,True
GSM1498897,H3K4me3_ChIPSeq-KO2,Homo sapiens,['GSE61176'],GPL11154,Illumina HiSeq 2000,https://www.ncbi.nlm.nih.gov/sra?term=SRX693083,ChIP-Seq,"{'antibody': 'H3K4me3', 'Title': 'H3K4me3_ChIPSeq-KO2'}",,Fucci human embryonic stem cell,,,{},{},{'antibody': 'H3K4me3'},True,True,True
GSM1498898,H3K4me3_ChIPSeq-AzL,Homo sapiens,['GSE61176'],GPL11154,Illumina HiSeq 2000,https://www.ncbi.nlm.nih.gov/sra?term=SRX693084,ChIP-Seq,"{'antibody': 'H3K4me3', 'Title': 'H3K4me3_ChIPSeq-AzL'}",,Fucci human embryonic stem cell,,,{},{},{'antibody': 'H3K4me3'},True,True,True
GSM1498899,H3K4me3_ChIPSeq-AzH,Homo sapiens,['GSE61176'],GPL11154,Illumina HiSeq 2000,https://www.ncbi.nlm.nih.gov/sra?term=SRX693085,ChIP-Seq,"{'antibody': 'H3K4me3', 'Title': 'H3K4me3_ChIPSeq-AzH'}",,Fucci human embryonic stem cell,,,{},{},{'antibody': 'H3K4me3'},True,True,True
